order_id,customer_id,order_date,amount,status,city,payment_method
1,1913,2026-04-02,11149.1,Completed,Delhi,UPI
2,5468,2026-04-06,8898.34,Completed,Rudrapur,Card
3,2906,2026-05-03,9070.08,Completed,Pune,Card
4,4680,2026-05-08,4245.04,Cancelled,Delhi,Net Banking
5,3788,2026-04-18,2416.64,Returned,Mumbai,UPI
6,1760,2026-04-25,1541.07,Pending,Noida,UPI
7,4764,2026-05-05,1959.91,Cancelled,Rudrapur,Cash
8,3963,2026-05-07,2965.1,Completed,Dehradun,Cash
9,1654,2026-05-25,3568.58,Completed,Noida,Net Banking
10,3989,2026-04-11,5615.7,Completed,Noida,UPI
11,5991,2026-05-11,2649.97,Pending,Delhi,Net Banking
12,4109,2026-04-18,14843.9,Completed,Dehradun,Cash
13,1459,2026-04-15,12344.86,Pending,Pune,Cash
14,1543,2026-04-14,13705.73,Completed,Mumbai,Card
15,5090,2026-04-26,13281.78,Completed,Delhi,Cash
16,2144,2026-04-16,11200.34,Completed,Pune,Net Banking
17,3966,2026-04-15,14960.15,Completed,Bengaluru,UPI
18,1386,2026-05-26,1733.77,Completed,Pune,UPI
19,4153,2026-04-25,8978.74,Completed,Noida,UPI
20,1939,2026-05-14,13283.35,Pending,Mumbai,UPI
21,3405,2026-04-28,2456.55,Completed,Noida,Card
22,5159,2026-05-29,1685.52,Completed,Dehradun,Card
23,4064,2026-05-19,2507.08,Returned,Haldwani,Cash
24,5003,2026-04-02,1766.83,Completed,Noida,Card
25,1475,2026-04-16,13182.34,Returned,Rudrapur,Net Banking
26,1567,2026-05-19,8037.32,Completed,Bengaluru,Card
27,3172,2026-05-04,13099.25,Completed,Dehradun,Card
28,3554,2026-04-26,14927.73,Completed,Bengaluru,Net Banking
29,1992,2026-04-16,3447.99,Completed,Dehradun,Card
30,1059,2026-04-05,10646.83,Completed,Rudrapur,UPI
31,3707,2026-04-05,7760.93,Completed,Bengaluru,Card
32,5418,2026-04-09,10877.95,Cancelled,Bengaluru,Card
33,4875,2026-05-22,6165.19,Completed,Pune,Cash
34,4470,2026-04-27,7058.67,Pending,Rudrapur,UPI
35,4299,2026-05-17,5155.61,Cancelled,Dehradun,Card
36,2559,2026-05-05,6784.34,Completed,Noida,Net Banking
37,3047,2026-05-26,13856.66,Completed,Rudrapur,UPI
38,5429,2026-05-24,319.89,Completed,Dehradun,Card
39,4330,2026-05-02,7272.24,Cancelled,Haldwani,Card
40,4105,2026-04-01,14781.1,Completed,Bengaluru,Cash
41,4466,2026-05-15,14364.03,Returned,Bengaluru,Card
42,2556,2026-04-19,3343.74,Completed,Haldwani,Cash
43,1469,2026-04-04,8804.25,Completed,Delhi,UPI
44,5161,2026-04-06,12785.0,Completed,Rudrapur,Card
45,4308,2026-04-08,14129.78,Completed,Haldwani,UPI
46,4435,2026-05-13,8796.72,Completed,Noida,Card
47,3574,2026-04-16,4057.66,Completed,Noida,Net Banking
48,3591,2026-05-30,11302.78,Completed,Bengaluru,UPI
49,1601,2026-05-05,3276.0,Completed,Mumbai,UPI
50,3002,2026-04-24,4346.31,Completed,Noida,UPI
51,5544,2026-04-20,13983.16,Completed,Delhi,Cash
52,1946,2026-05-27,1694.84,Completed,Noida,Cash
53,5955,2026-04-14,10792.42,Completed,Noida,Net Banking
54,3058,2026-05-28,13631.57,Completed,Pune,Cash
55,1362,2026-04-01,5069.99,Completed,Noida,Card
56,4620,2026-05-06,10614.44,Completed,Rudrapur,UPI
57,2222,2026-05-05,636.82,Completed,Delhi,Net Banking
58,2045,2026-04-03,4693.05,Cancelled,Haldwani,Cash
59,2721,2026-05-14,3817.99,Completed,Pune,Card
60,2940,2026-05-26,2521.28,Pending,Delhi,Net Banking
61,1204,2026-04-12,11074.81,Completed,Pune,Card
62,3186,2026-04-11,11831.88,Completed,Haldwani,Net Banking
63,2823,2026-04-13,12267.14,Completed,Noida,Card
64,2827,2026-04-02,9934.49,Completed,Noida,UPI
65,3287,2026-04-23,9658.08,Completed,Mumbai,UPI
66,1945,2026-05-27,14558.97,Completed,Noida,UPI
67,1889,2026-05-09,6575.0,Pending,Mumbai,Net Banking
68,5967,2026-05-03,1823.12,Cancelled,Dehradun,Cash
69,1364,2026-05-16,6597.26,Completed,Dehradun,Cash
70,4534,2026-04-05,14238.23,Cancelled,Mumbai,UPI
71,3461,2026-05-03,4708.34,Completed,Pune,Cash
72,5542,2026-04-09,2958.42,Completed,Pune,Card
73,5663,2026-04-20,6150.52,Pending,Noida,Cash
74,2722,2026-04-28,11807.81,Completed,Mumbai,Net Banking
75,4620,2026-04-29,10166.85,Completed,Delhi,UPI
76,3325,2026-05-03,9991.42,Completed,Rudrapur,Card
77,3543,2026-04-15,12117.79,Completed,Haldwani,Card
78,4893,2026-05-10,12761.09,Completed,Pune,Card
79,4146,2026-05-02,6054.83,Completed,Haldwani,UPI
80,4483,2026-04-15,2720.71,Returned,Bengaluru,UPI
81,5567,2026-04-16,13770.3,Completed,Delhi,Net Banking
82,5352,2026-05-06,8972.24,Returned,Bengaluru,Net Banking
83,5489,2026-04-29,13468.4,Pending,Bengaluru,Net Banking
84,3124,2026-05-19,3783.87,Completed,Bengaluru,Card
85,3250,2026-04-29,1254.5,Completed,Noida,Cash
86,3620,2026-05-28,8148.27,Completed,Dehradun,Net Banking
87,2252,2026-05-16,3287.9,Completed,Mumbai,Net Banking
88,4407,2026-04-04,3181.83,Completed,Haldwani,Net Banking
89,4908,2026-04-01,14146.85,Completed,Pune,Net Banking
90,5410,2026-05-18,11046.05,Pending,Dehradun,Net Banking
91,2798,2026-04-18,6593.96,Completed,Mumbai,Net Banking
92,2353,2026-05-24,7064.11,Completed,Haldwani,Net Banking
93,5849,2026-05-07,9978.7,Completed,Pune,Card
94,4783,2026-04-12,849.24,Completed,Dehradun,Net Banking
95,3678,2026-04-22,11442.32,Completed,Pune,Cash
96,1671,2026-05-01,388.81,Completed,Mumbai,Card
97,1563,2026-05-20,14363.56,Completed,Haldwani,Card
98,2634,2026-05-24,403.66,Completed,Delhi,Net Banking
99,1938,2026-05-07,14221.58,Completed,Noida,Cash
100,2375,2026-05-09,9147.99,Pending,Rudrapur,Card
101,3549,2026-04-07,8722.4,Cancelled,Pune,Net Banking
102,2625,2026-04-05,8922.26,Pending,Dehradun,UPI
103,3471,2026-05-25,10295.46,Pending,Haldwani,Cash
104,5365,2026-04-28,9956.67,Completed,Mumbai,UPI
105,4442,2026-05-23,7404.01,Completed,Mumbai,Net Banking
106,2254,2026-04-28,2724.44,Completed,Noida,Net Banking
107,4809,2026-04-28,12403.45,Completed,Mumbai,Card
108,1710,2026-04-18,13236.3,Completed,Bengaluru,Net Banking
109,3756,2026-04-02,7465.17,Completed,Bengaluru,Card
110,3907,2026-05-22,3949.45,Completed,Noida,UPI
111,5233,2026-05-31,2946.74,Completed,Pune,Net Banking
112,5549,2026-05-19,3680.83,Completed,Bengaluru,Net Banking
113,1142,2026-04-06,4484.11,Completed,Dehradun,Cash
114,5765,2026-04-24,7151.58,Completed,Pune,Cash
115,3883,2026-05-15,6860.8,Completed,Dehradun,UPI
116,2578,2026-04-21,1881.37,Completed,Delhi,Card
117,2773,2026-05-18,7314.56,Pending,Noida,UPI
118,2591,2026-04-19,3489.5,Completed,Haldwani,Card
119,3248,2026-04-03,14616.99,Completed,Delhi,Net Banking
120,1841,2026-05-26,282.75,Completed,Bengaluru,Net Banking
121,3792,2026-04-12,14485.91,Completed,Bengaluru,UPI
122,1536,2026-04-26,7427.02,Completed,Haldwani,Card
123,2223,2026-05-22,8486.31,Completed,Dehradun,UPI
124,5572,2026-05-19,6300.99,Completed,Dehradun,Net Banking
125,4691,2026-05-29,6696.54,Cancelled,Pune,Cash
126,5659,2026-05-10,997.43,Returned,Rudrapur,Card
127,2729,2026-04-17,9940.38,Completed,Delhi,UPI
128,2283,2026-04-01,6186.91,Completed,Bengaluru,Cash
129,1268,2026-04-15,4392.76,Completed,Bengaluru,UPI
130,2913,2026-05-30,4041.86,Pending,Dehradun,Net Banking
131,1941,2026-05-05,3449.66,Completed,Noida,Card
132,1585,2026-04-04,2572.25,Completed,Noida,Net Banking
133,2019,2026-04-30,10361.3,Completed,Noida,Net Banking
